iter	Passed	Remaining
0	180	180674
1	198	99094
2	214	71447
3	227	56686
4	237	47260
5	248	41091
6	257	36566
7	268	33246
8	279	30779
9	290	28721
10	300	26992
11	310	25530
12	318	24211
13	328	23164
14	337	22173
15	345	21265
16	354	20519
17	364	19877
18	373	19276
19	383	18793
20	394	18378
21	404	17971
22	412	17531
23	422	17197
24	431	16822
25	441	16533
26	449	16211
27	458	15926
28	466	15629
29	475	15390
30	486	15217
31	495	14997
32	505	14808
33	513	14591
34	522	14410
35	531	14220
36	540	14066
37	549	13919
38	558	13754
39	567	13609
40	575	13452
41	584	13336
42	593	13208
43	602	13081
44	610	12950
45	619	12840
46	627	12718
47	635	12611
48	644	12501
49	652	12394
50	660	12282
51	668	12184
52	676	12091
53	685	12004
54	693	11920
55	703	11853
56	711	11775
57	720	11699
58	728	11623
59	736	11543
60	745	11471
61	753	11397
62	761	11324
63	769	11252
64	778	11196
65	786	11131
66	795	11082
67	804	11021
68	812	10969
69	820	10907
70	829	10851
71	837	10800
72	846	10753
73	855	10699
74	863	10650
75	871	10601
76	880	10553
77	890	10525
78	899	10488
79	908	10451
80	916	10403
81	925	10364
82	933	10318
83	942	10281
84	951	10240
85	960	10209
86	969	10169
87	977	10133
88	986	10095
89	995	10067
90	1004	10030
91	1012	9996
92	1020	9957
93	1029	9927
94	1039	9898
95	1047	9867
96	1055	9829
97	1063	9790
98	1072	9758
99	1080	9723
100	1089	9694
101	1098	9667
102	1108	9651
103	1118	9639
104	1127	9614
105	1136	9586
106	1145	9563
107	1154	9537
108	1163	9510
109	1171	9481
110	1179	9450
111	1188	9425
112	1197	9396
113	1206	9379
114	1215	9350
115	1223	9325
116	1232	9298
117	1240	9273
118	1248	9246
119	1257	9223
120	1266	9198
121	1274	9171
122	1283	9147
123	1291	9123
124	1300	9102
125	1309	9080
126	1317	9058
127	1326	9037
128	1336	9020
129	1344	8996
130	1353	8976
131	1361	8953
132	1370	8936
133	1380	8919
134	1388	8896
135	1396	8873
136	1405	8851
137	1413	8829
138	1422	8813
139	1431	8791
140	1439	8769
141	1448	8753
142	1457	8733
143	1466	8716
144	1475	8698
145	1484	8680
146	1492	8660
147	1501	8644
148	1510	8627
149	1519	8611
150	1528	8594
151	1537	8577
152	1546	8563
153	1554	8541
154	1563	8521
155	1570	8499
156	1579	8481
157	1587	8459
158	1596	8441
159	1604	8424
160	1613	8406
161	1621	8387
162	1629	8369
163	1638	8350
164	1647	8336
165	1655	8318
166	1664	8302
167	1672	8283
168	1681	8266
169	1689	8250
170	1698	8236
171	1707	8219
172	1715	8201
173	1724	8184
174	1732	8169
175	1741	8153
176	1750	8137
177	1758	8122
178	1767	8106
179	1776	8092
180	1784	8075
181	1793	8062
182	1802	8047
183	1811	8033
184	1820	8018
185	1830	8008
186	1838	7994
187	1847	7977
188	1856	7966
189	1866	7956
190	1875	7943
191	1884	7932
192	1894	7920
193	1903	7907
194	1911	7892
195	1921	7881
196	1929	7865
197	1938	7851
198	1947	7837
199	1956	7826
200	1966	7815
201	1975	7804
202	1984	7792
203	1992	7775
204	2001	7762
205	2010	7749
206	2019	7736
207	2027	7721
208	2036	7708
209	2045	7696
210	2054	7684
211	2064	7673
212	2074	7665
213	2084	7656
214	2093	7643
215	2103	7634
216	2112	7621
217	2120	7608
218	2129	7593
219	2137	7579
220	2146	7567
221	2155	7552
222	2163	7538
223	2171	7523
224	2179	7508
225	2189	7499
226	2198	7486
227	2207	7474
228	2215	7460
229	2223	7445
230	2232	7431
231	2241	7419
232	2250	7408
233	2258	7393
234	2267	7380
235	2275	7365
236	2283	7351
237	2291	7338
238	2300	7325
